id,name,region,regime_type,gdp,capital,population,public_debt,fx_reserves,energy_reserve,energy_production,energy_consumption,food_reserve,food_production,food_consumption,metals_reserve,metals_production,metals_consumption,trust_gov,social_tension,inequality_gini,climate_risk,co2_annual_emissions,biodiversity_local,pdi,idv,mas,uai,lto,ind,traditional_secular,survival_self_expression,tech_level,security_index,military_gdp_ratio,military_power,water_stress,regime_stability,debt_crisis_prone,conflict_proneness,alliance_block
C01,United States,North America,Democracy,27.292171,5.929633,336806231.0,31.925028,0.773426,1.1764705882352942,0.09999999999999999,0.20636419127818198,8.351645601449817,196.5164109182545,192.38383525648663,25.63253481814872,134.03305933107134,135.67381023926248,0.6,0.3,41.8,0.633655,5.6,0.6663193768999407,40,91,62,46,26,68,4.5,7.5,1.0,0.5,3.5,0.85,0.3957842753148658,0.6623489760414234,0.2194699664250736,0.3782423729931513,Western
C02,China,East Asia,Autocracy,18.270357,7.39117,1410710000.0,14.068175,3.449544,1.1764705882352942,0.13333333333333333,0.1381475825674942,8.419807577772069,702.2374220562623,708.7228889460962,26.24048174187826,80.44726240992338,81.09389826458406,0.6,0.3,36.0,0.775996,11.7,0.5089289999999261,80,20,66,30,87,24,7.0,4.0,1.0,0.5,1.7,0.6699999999999999,0.5261307160768232,0.7567034881103836,0.586924674033501,0.5213495470650329,Eurasian
C03,Japan,East Asia,Democracy,4.213167,1.095933,124516650.0,11.122761,1.294636,0.14705882352941177,0.024999999999999998,0.031857003998506536,9.01937695645914,60.00704007862156,57.85090445811441,28.43430154195927,18.04539940180017,18.67416979803627,0.6,0.3,32.3,0.716101,1.0,0.6375483349999891,54,46,95,92,88,42,7.5,6.5,1.0,0.5,1.0,0.6,0.5951465337549102,0.6503391772506796,0.5002850310909868,0.4026229351959982,Western
C04,Germany,Europe,Democracy,4.562208,0.966809,83287273.0,3.011057,0.3227,0.29411764705882354,0.024999999999999998,0.03449620641622288,10.451021150627748,39.12374295152202,39.06606443047599,32.78753518578723,20.79544804181286,21.25907425708665,0.6,0.3,32.4,0.629178,0.65,0.5916712726999903,35,67,66,65,83,40,8.0,7.5,1.0,0.5,1.5,0.65,0.2693919756361003,0.6709547508980012,0.218069052279073,0.448153938029727,Western
C05,India,South Asia,Democracy,3.638489,1.107048,1438069596.0,3.019946,0.627793,0.7352941176470588,0.049999999999999996,0.027511693370218186,9.406234999625546,579.9908508876415,582.7720490613794,32.95901988923581,15.468624443895466,15.392674539071765,0.6,0.3,25.5,0.61221,2.9,0.6061930403999889,77,48,56,40,51,26,3.5,4.5,1.0,0.5,2.4,0.74,0.7482418138556036,0.6259328143826288,0.7223365336846855,0.4699296523087955,IndoPacific
C06,United Kingdom,Europe,Democracy,3.420797,0.646446,68492000.0,4.657156,0.177915,0.14705882352941177,0.016666666666666666,0.025865659658655626,8.793218242865937,31.221390337870876,31.967329162298828,32.09545858249006,13.72112121985471,13.543010982129188,0.6,0.3,32.4,0.508122,0.33,0.5931507999999935,35,89,66,35,51,69,6.5,7.5,1.0,0.5,2.0,0.7,0.3210591051612422,0.5993008139124154,0.2041034979217373,0.3571891625682956,Western
C07,France,Europe,Democracy,3.056251,0.697879,68372286.0,3.392439,0.240792,0.14705882352941177,0.016666666666666666,0.02310921934199133,8.532623230010701,35.46617575820218,35.01830646746826,25.177903638859732,12.102351138694534,12.011011708603098,0.6,0.3,31.8,0.510115,0.29,0.593162771399993,68,71,43,86,63,48,7.5,7.0,1.0,0.5,1.9,0.69,0.2625626061875527,0.6837568562275942,0.2106063416183932,0.4487511955411998,Western
C08,Italy,Europe,Democracy,2.316728,0.524941,58984216.0,3.336088,0.247396,0.14705882352941177,0.016666666666666666,0.01751746682708092,11.009640788405653,32.22430464189468,33.802350089277034,34.56838661651055,9.929231229442497,9.926876281355472,0.6,0.3,34.3,0.541756,0.33,0.5941015783999948,50,76,70,75,61,30,6.5,6.5,1.0,0.5,1.5,0.65,0.2950214002445436,0.5736271677842548,0.2106883565615579,0.3751950787714537,Western
C09,Brazil,South America,Democracy,2.191132,0.359586,211140729.0,1.819335,0.355021,0.4411764705882353,0.024999999999999998,0.01656779825847293,9.2427145551076,115.81480450987476,110.63863073716207,32.151926853996926,9.612297636633349,9.839353842102565,0.6,0.3,51.6,0.536965,0.49,0.8288859270999964,69,38,49,76,44,59,4.0,5.5,1.0,0.5,1.4,0.64,0.4247980162414667,0.6758384135908102,0.7033722519983744,0.3270361678880112,Latin
C10,Canada,North America,Democracy,2.17334,0.496675,40083484.0,1.357753,0.117551,2.2058823529411766,0.024999999999999998,0.016433267674913953,10.025921778718004,22.157462415449604,22.830124680166897,33.2473109252561,9.54313607969056,9.56012905497814,0.6,0.3,31.1,0.520906,0.57,0.695991651599995,39,80,52,48,36,68,5.5,7.5,1.0,0.5,1.3,0.63,0.3135427912744069,0.6410837030231167,0.2767727952452168,0.3200777769259371,Western
C11,South Korea,East Asia,Democracy,1.844801,0.580135,51712619.0,0.895732,0.42093,2.941176470588235,0.024999999999999998,0.013949086953697504,11.202428139101675,22.34817551985029,23.450519107631735,29.04669256546559,9.01158397294291,8.89769470448056,0.6,0.3,32.9,0.904167,0.65,0.6448287380999942,60,18,39,85,100,29,6.0,6.0,1.0,0.5,2.8,0.78,0.5097499816689529,0.6821231437156319,0.463974538338331,0.3052543372541993,Western
