iso3,iso2,name,wb_region,income_level,gdp_usd_current,gdp_usd_current_source_year,src_gdp_usd_current,population,population_source_year,src_population,fx_reserves_usd,fx_reserves_usd_source_year,src_fx_reserves_usd,public_debt_pct_gdp,public_debt_pct_gdp_source_year,src_public_debt_pct_gdp,co2_mtco2e,co2_mtco2e_source_year,src_co2_mtco2e,inequality_gini,inequality_gini_source_year,src_inequality_gini,water_stress_pct,water_stress_pct_source_year,src_water_stress_pct,military_gdp_ratio,military_gdp_ratio_source_year,src_military_gdp_ratio,military_spending_usd,military_spending_usd_source_year,src_military_spending_usd,wgi_pv,wgi_pv_source_year,src_wgi_pv,wgi_ge,wgi_ge_source_year,src_wgi_ge,wgi_rl,wgi_rl_source_year,src_wgi_rl,wgi_va,wgi_va_source_year,src_wgi_va,rd_pct_gdp,rd_pct_gdp_source_year,src_rd_pct_gdp,high_tech_exports_pct,high_tech_exports_pct_source_year,src_high_tech_exports_pct,manufacturing_share_pct,manufacturing_share_pct_source_year,src_manufacturing_share_pct,energy_use_kg_oe_pc,energy_use_kg_oe_pc_source_year,src_energy_use_kg_oe_pc,energy_imports_net_pct,energy_imports_net_pct_source_year,src_energy_imports_net_pct,agri_share_pct,agri_share_pct_source_year,src_agri_share_pct,food_production_index,food_production_index_source_year,src_food_production_index,arable_land_pct,arable_land_pct_source_year,src_arable_land_pct,coal_rents_pct,coal_rents_pct_source_year,src_coal_rents_pct,gas_rents_pct,gas_rents_pct_source_year,src_gas_rents_pct,oil_rents_pct,oil_rents_pct_source_year,src_oil_rents_pct,mineral_rents_pct,mineral_rents_pct_source_year,src_mineral_rents_pct,ndgain_name,climate_vulnerability,habitat_vulnerability,ecosystem_vulnerability,ndgain_governance_readiness,ndgain_source,hofstede_name,pdi,idv,mas,uai,lto,ind,hofstede_source,src_climate_vulnerability,src_habitat_vulnerability,src_ecosystem_vulnerability,src_ndgain_governance_readiness,src_pdi,src_idv,src_mas,src_uai,src_lto,src_ind,model_region,wgi_pv_unit,wgi_ge_unit,wgi_rl_unit,wgi_va_unit,alliance_block,regime_type,override_name,override_model_region,override_alliance_block,override_regime_type,override_gdp_usd_current,override_population,override_fx_reserves_usd,override_public_debt_pct_gdp,override_co2_mtco2e,override_note,fossil_rents_pct,food_domestic_supply_raw,food_consumption_raw,food_production_raw,food_stock_variation_raw,src_food_production_raw,src_food_consumption_raw,wmd_energy_production_raw,src_wmd_energy_production_raw,wmd_metals_production_raw,src_wmd_metals_production_raw,energy_consumption_raw,src_energy_consumption_raw,energy_production_raw,src_energy_production_raw,src_food_domestic_supply_raw,src_food_stock_variation_raw,food_reserve_raw,src_food_reserve_raw,metals_production_raw,src_metals_production_raw,metals_consumption_raw,src_metals_consumption_raw,energy_reserve_raw,src_energy_reserve_raw,metals_reserve_raw,src_metals_reserve_raw,gdp_per_capita,fx_to_gdp,water_stress,climate_risk,biodiversity_local,regime_stability,trust_gov,security_index,tech_level,military_power,debt_crisis_prone,social_tension,conflict_proneness,traditional_secular,survival_self_expression
ABW,AW,Aruba,Latin America & Caribbean ,High income,3834729616.12027,2023.0,direct_2023,107359.0,2023.0,direct_2023,1261911730.0,2023.0,direct_2023,56.36707623161835,,region_median_imputed,0.5371,2023.0,direct_2023,39.2,,region_median_imputed,7.860133843,,region_median_imputed,1.32324399735374,,region_median_imputed,339405131.876536,,region_median_imputed,1.43252456188202,2023.0,direct_2023,0.795440852642059,2023.0,direct_2023,1.27020680904388,2023.0,direct_2023,1.0191752910614,2023.0,direct_2023,0.21928999999999998,,region_median_imputed,6.86800836378335,2023.0,direct_2023,2.63057225622421,2022.0,latest_2022,730.5723929666075,,region_median_imputed,13.31725266599755,,region_median_imputed,0.0342144315332219,2022.0,latest_2022,111.76,,region_median_imputed,11.1111111111111,2023.0,direct_2023,0.0,2021.0,latest_2021,0.0,2021.0,latest_2021,0.0,2021.0,latest_2021,0.0,2021.0,latest_2021,,0.464307310656572,0.5567953882716915,0.490240220108157,0.406934936400206,,,75.5,33.0,44.5,81.0,24.0,46.0,,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,Global South,0.786504912376404,0.6590881705284117,0.754041361808776,0.70383505821228,NonAligned,Democracy,,,,,,,,,,,0.0,99.78728173835461,66.16544790617968,66.96439700222244,0.6561355511563043,region_per_capita_imputed,region_per_capita_imputed,,,,,0.07843352153650202,region_median_imputed,0.06798833129864644,derived_wb_energy_balance,region_per_capita_imputed,region_ratio_imputed,5.899163375646665,derived_faostat_buffer,0.0,zero_imputed_no_wmd_production,5.296148673811892e-06,derived_wb_manufacturing_demand,0.023795915954526254,derived_wmd_wb_reserve_proxy,0.0,derived_wmd_wb_reserve_proxy,35718.753119163455,0.3290744997235868,0.07860133843,0.464307310656572,0.4764821958100758,0.7529056763648986,0.6804802302837369,0.5961250415043621,1.4106676884263363,0.9244203372117651,0.5007969915764781,0.3051169997761145,0.2916580758157533,6.133426146213203,6.117284151642571
AFG,AF,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,17152234636.8715,2023.0,direct_2023,41454761.0,2023.0,direct_2023,8419488003.81955,2020.0,latest_2020,60.01757891418865,,region_median_imputed,11.6486,2023.0,direct_2023,29.6,,region_median_imputed,54.75701944,2022.0,latest_2022,1.827933856217,2021.0,latest_2021,278250788.014927,2021.0,latest_2021,-2.48408055305481,2023.0,direct_2023,-1.98701369762421,2023.0,direct_2023,-1.64964091777802,2023.0,direct_2023,-1.85290133953094,2023.0,direct_2023,0.16375,,region_median_imputed,0.0,2019.0,latest_2019,7.5409168634476,2023.0,direct_2023,473.920825625094,,region_median_imputed,39.7925509388676,,region_median_imputed,34.7432471445174,2023.0,direct_2023,111.43,2022.0,latest_2022,12.0294987964368,2023.0,direct_2023,0.0193977562950517,2021.0,latest_2021,0.00195353922210792,2021.0,latest_2021,0.0178695056581909,2021.0,latest_2021,0.0,2021.0,latest_2021,Afghanistan,0.58751617832868,0.533117805902342,0.509271539279062,0.185213898075121,direct_ndgain,,66.0,31.0,53.0,55.0,50.5,13.0,,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,South Asia,0.003183889389037997,0.10259726047515798,0.170071816444396,0.12941973209381202,NonAligned,Autocracy,,,,,,,,,,,0.03922080117535052,19461.0,16770.0,14405.0,388.0,direct_faostat_fbs_2023,direct_faostat_fbs_2023,1.0448,direct_wmd_2023,3.474046669999e-05,direct_wmd_2023,19.646274559210944,region_median_imputed,11.828520747647143,direct_wmd_2023_plus_wb_balance,,,1592.3615230460923,derived_faostat_buffer,3.474046669999e-05,direct_wmd_2023,6.271806504726923e-05,derived_wb_manufacturing_demand,4.406094052899114,derived_wmd_wb_reserve_proxy,9.00775182378831e-06,derived_wmd_wb_reserve_proxy,413.757894705303,0.4908682852157642,0.5475701944,0.58751617832868,0.47880532740929804,0.0647885453701015,0.1914150968551634,0.15234280402132555,0.6738268175494909,0.7587038776050118,0.6420591641117516,0.6381735812880456,0.6640110853254044,1.7405938124656684,2.823901902987771
AGO,AO,Angola,Sub-Saharan Africa ,Lower middle income,107167747140.127,2023.0,direct_2023,36749906.0,2023.0,direct_2023,13942114198.8828,2023.0,direct_2023,56.36707623161835,,region_median_imputed,27.336,2023.0,direct_2023,51.3,2018.0,latest_2018,1.871883289,2022.0,latest_2022,1.40725542077164,2023.0,direct_2023,1247846345.08517,2023.0,direct_2023,-0.34150505065918,2023.0,direct_2023,-1.00890958309174,2023.0,direct_2023,-1.09906601905823,2023.0,direct_2023,-0.737252414226532,2023.0,direct_2023,0.03229,2016.0,latest_2016,23.4714139423334,2023.0,direct_2023,7.32294984138305,2023.0,direct_2023,423.122517600564,2022.0,latest_2022,-353.971819384273,2022.0,latest_2022,20.6897623256468,2023.0,direct_2023,124.09,2022.0,latest_2022,4.31940322451271,2023.0,direct_2023,0.0,2021.0,latest_2021,1.01234906054638,2021.0,latest_2021,28.2744398825844,2021.0,latest_2021,0.0,2021.0,latest_2021,Angola,0.506373424333808,0.684022945832105,0.545213972968716,0.360742582770205,direct_ndgain,,75.5,33.0,44.5,81.0,24.0,46.0,,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,Global South,0.43169898986816396,0.298218083381652,0.280186796188354,0.3525495171546936,NonAligned,Hybrid,,,,,,,,,,,29.28678894313078,31779.0,22649.0,28616.0,-670.0,direct_faostat_fbs_2023,direct_faostat_fbs_2023,61.2401652,direct_wmd_2023,1.0092685467417239e-05,direct_wmd_2023,15.54971274830407,latest_2022,61.2401652,direct_wmd_2023_plus_wb_balance,,,3900.37,derived_faostat_buffer,1.0092685467417239e-05,direct_wmd_2023,0.0004906661782995412,derived_wb_manufacturing_demand,1531.00413,derived_wmd_wb_reserve_proxy,2.550401756759164e-06,derived_wmd_wb_reserve_proxy,2916.1366328427343,0.13009617698366666,0.01871883289,0.506373424333808,0.3853815405995895,0.3671247601509091,0.35281293599605523,0.2396440153363887,1.03858169084568,1.000622816445905,0.6033660865254025,0.5031419257456251,0.4885303563076572,3.213750943435744,4.280922754234651
ALB,AL,Albania,Europe & Central Asia,Upper middle income,23491242727.4082,2023.0,direct_2023,2414095.0,2023.0,direct_2023,6228581543.45668,2023.0,direct_2023,81.9202285649265,2021.0,latest_2021,4.2226,2023.0,direct_2023,29.4,2020.0,latest_2020,4.789663462,2022.0,latest_2022,1.7407334644623,2023.0,direct_2023,397617613.069546,2023.0,direct_2023,0.183348968625069,2023.0,direct_2023,0.250855356454849,2023.0,direct_2023,-0.164097368717194,2023.0,direct_2023,0.168997228145599,2023.0,direct_2023,1.39898,,region_median_imputed,0.682326849473647,2023.0,direct_2023,7.20306114627036,2023.0,direct_2023,888.463855695385,2023.0,direct_2023,22.7015590200443,2023.0,direct_2023,16.2742388313006,2023.0,direct_2023,105.4,2022.0,latest_2022,21.5583941605839,2023.0,direct_2023,0.0322572749578343,2021.0,latest_2021,0.049458339903858,2021.0,latest_2021,1.04218369204761,2021.0,latest_2021,0.180213705970408,2021.0,latest_2021,Albania,0.380184451027829,0.511345785513779,0.416567741831605,0.4914194968616,direct_ndgain,Albania,48.0,61.5,48.5,74.5,61.0,15.0,partial_hofstede,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_hofstede,direct_hofstede,Europe,0.5366697937250138,0.5501710712909699,0.4671805262565612,0.5337994456291197,Western,Hybrid,,,,,,,,,,,1.1238993069093022,4944.0,3409.0,4123.0,90.0,direct_faostat_fbs_2023,direct_faostat_fbs_2023,0.83249682,direct_wmd_2023,0.0013732019579022687,direct_wmd_2023,2.14483615171495,direct_2023,1.6579249068501338,direct_wmd_2023_plus_wb_balance,,,569.1627791262135,derived_faostat_buffer,0.0013732019579022687,direct_wmd_2023,8.252099885835497e-05,derived_wb_manufacturing_demand,1.6491057985489836,derived_wmd_wb_reserve_proxy,0.0012039344639945908,derived_wmd_wb_reserve_proxy,9730.869219068925,0.2651448293192909,0.04789663462,0.380184451027829,0.536043236327308,0.5219977323710918,0.5641452689111233,0.42347341088280516,1.2541090661993561,0.9031565960074553,0.7252589727457186,0.34295243632122596,0.3846375734769004,5.186646057848685,5.317773908234391
AND,AD,Andorra,Europe & Central Asia,High income,3785065524.84754,2023.0,direct_2023,80856.0,2023.0,direct_2023,13678494896.6915,,region_median_imputed,49.5131518533858,,region_median_imputed,36.9706,,region_median_imputed,30.95,,region_median_imputed,8.392463680999999,,region_median_imputed,1.6999298714670399,,region_median_imputed,4355478069.88993,,region_median_imputed,1.58346593379974,2023.0,direct_2023,1.4754387140274,2023.0,direct_2023,1.47689890861511,2023.0,direct_2023,0.996939778327942,2023.0,direct_2023,1.39898,,region_median_imputed,21.4346319155008,2023.0,direct_2023,3.39743699615492,2023.0,direct_2023,2482.85667093368,,region_median_imputed,54.514950869779554,,region_median_imputed,0.47849213558896,2023.0,direct_2023,100.68,,region_median_imputed,1.55851063829787,2023.0,direct_2023,0.0,,zero_imputed,0.0,,zero_imputed,0.0,,zero_imputed,0.0,2021.0,latest_2021,Andorra,0.334702001024289,0.456114812577498,0.359757630965032,0.6440865412532165,missing_ndgain,Andorra,48.0,61.5,48.5,74.5,61.0,65.0,partial_hofstede,region_median_imputed,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_hofstede,Europe,0.8166931867599481,0.79508774280548,0.795379781723022,0.6993879556655884,Western,Democracy,,,,,,,,,,,0.0,140.30220005021704,73.45086701754502,129.02035241468172,0.6031081435063749,region_per_capita_imputed,region_per_capita_imputed,,,,,0.20075385898501363,region_median_imputed,0.09131299139014692,derived_wb_energy_balance,region_per_capita_imputed,region_ratio_imputed,25.562193178084133,derived_faostat_buffer,0.0,zero_imputed_no_wmd_production,7.88201268825118e-06,derived_wb_manufacturing_demand,0.03195954698655142,derived_wmd_wb_reserve_proxy,0.0,derived_wmd_wb_reserve_proxy,46812.42610131023,3.6138066321170124,0.08392463681,0.334702001024289,0.592063778228735,0.807043746709823,0.7597798311233515,0.8362016117572779,1.662843587078315,1.3127552238522524,0.1835289697604763,0.23645439272428243,0.24724194202448554,6.978961262661023,7.1524447628924746
ARE,AE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,522622191967.325,2023.0,direct_2023,10483751.0,2023.0,direct_2023,184551182266.885,2023.0,direct_2023,102.847276118182,,region_median_imputed,192.6964,2023.0,direct_2023,26.4,2018.0,latest_2018,1509.933333,2022.0,latest_2022,5.64365135247024,2014.0,latest_2014,22755071477.1954,2014.0,latest_2014,0.677530944347382,2023.0,direct_2023,1.60428190231323,2023.0,direct_2023,0.881900131702423,2023.0,direct_2023,-1.0949410200119,2023.0,direct_2023,1.49469,2021.0,latest_2021,8.96029397394575,2023.0,direct_2023,9.45861316188462,2023.0,direct_2023,8335.80957162683,2022.0,latest_2022,-171.482371329992,2022.0,latest_2022,0.764068711477443,2023.0,direct_2023,124.86,2022.0,latest_2022,0.709433962264151,2023.0,direct_2023,0.0,2021.0,latest_2021,1.96089498612487,2021.0,latest_2021,15.6730945329946,2021.0,latest_2021,0.0,2021.0,latest_2021,United Arab Emirates,0.382862724694561,0.333828578139929,0.470773653977667,0.687971002823107,direct_ndgain,,13.0,54.0,47.0,81.0,25.0,30.0,,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,Middle East,0.6355061888694764,0.820856380462646,0.6763800263404847,0.28101179599762,MENA,Autocracy,United Arab Emirates,Middle East,MENA,Autocracy,,,,,,Manual bloc override.,17.63398951911947,14777.0,6713.0,2168.0,-1539.0,direct_faostat_fbs_2023,direct_faostat_fbs_2023,229.5928194,direct_wmd_2023,0.0037645097615507154,direct_wmd_2023,87.39055193235235,latest_2022,237.2499427043183,direct_wmd_2023_plus_wb_balance,,,537.04,derived_faostat_buffer,0.0037645097615507154,direct_wmd_2023,0.0026577383513224457,derived_wb_manufacturing_demand,4110.198529851254,derived_wmd_wb_reserve_proxy,0.004729539734556695,derived_wmd_wb_reserve_proxy,49850.687217516424,0.3531254223479729,1.0,0.382862724694561,0.597698883941202,0.6827946865558624,0.6563513301849364,0.6198441215897598,1.6127472122594508,1.4872130489391415,0.8211809978269041,0.422144103921349,0.49313043062469764,7.028207207091412,5.849612547003333
ARG,AR,Argentina,Latin America & Caribbean ,Upper middle income,649461687959.174,2023.0,direct_2023,45538401.0,2023.0,direct_2023,18986771972.2626,2023.0,direct_2023,71.3312731846403,,region_median_imputed,189.8908,2023.0,direct_2023,42.4,2023.0,direct_2023,10.45666408,2022.0,latest_2022,0.75569413987974,2023.0,direct_2023,4882352998.99977,2023.0,direct_2023,-0.127517908811569,2023.0,direct_2023,-0.377517342567444,2023.0,direct_2023,-0.410826534032822,2023.0,direct_2023,0.533921837806702,2023.0,direct_2023,0.54947,2022.0,latest_2022,5.44959440578319,2023.0,direct_2023,16.5255500222842,2023.0,direct_2023,1832.06690004241,2023.0,direct_2023,0.41571453028353,2023.0,direct_2023,5.8467786039069,2023.0,direct_2023,109.39,2022.0,latest_2022,14.7577340144481,2023.0,direct_2023,0.000157746419195732,2021.0,latest_2021,0.389397123451652,2021.0,latest_2021,1.54438228879011,2021.0,latest_2021,0.580266654524776,2021.0,latest_2021,Argentina,0.383358084544623,0.566907156222306,0.448609316287458,0.431870711100025,direct_ndgain,Argentina,49.0,46.0,56.0,86.0,20.0,62.0,direct_hofstede,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,direct_hofstede,direct_hofstede,direct_hofstede,direct_hofstede,direct_hofstede,direct_hofstede,South America,0.4744964182376862,0.42449653148651123,0.4178346931934356,0.6067843675613405,Latin,Democracy,Argentina,South America,Latin,Democracy,,,,,,Manual bloc override.,1.9339371586609577,107107.0,33850.0,140242.0,-2387.0,direct_faostat_fbs_2023,direct_faostat_fbs_2023,72.49820199999999,direct_wmd_2023,0.004952399374713588,direct_wmd_2023,83.42939715295819,direct_2023,83.08256902646539,direct_wmd_2023_plus_wb_balance,,,39945.200000000004,derived_faostat_buffer,0.004952399374713588,direct_wmd_2023,0.005543002863473414,derived_wb_manufacturing_demand,121.24463535102237,derived_wmd_wb_reserve_proxy,0.011934901402033442,derived_wmd_wb_reserve_proxy,14261.84656679478,0.029234629731470986,0.1045666408,0.383358084544623,0.49224176374511797,0.45033100962638856,0.4943151496887207,0.33719520393078173,1.2493451436537935,1.2111912641335998,0.6992280027512169,0.41946085073945183,0.3834090518368125,5.4807089706886885,5.442114897704151
ARM,AM,Armenia,Europe & Central Asia,Upper middle income,24185982215.6543,2023.0,direct_2023,2964300.0,2023.0,direct_2023,3607482711.24985,2023.0,direct_2023,48.0562986773694,2023.0,direct_2023,7.4987,2023.0,direct_2023,27.2,2023.0,direct_2023,61.97296752,2022.0,latest_2022,5.50629814850566,2023.0,direct_2023,1326245679.38669,2023.0,direct_2023,-0.829278230667114,2023.0,direct_2023,-0.184129968285561,2023.0,direct_2023,-0.122017979621887,2023.0,direct_2023,0.0767075568437576,2023.0,direct_2023,0.18115,2023.0,direct_2023,20.9051560207484,2023.0,direct_2023,10.2392239746218,2023.0,direct_2023,1347.59055747413,2022.0,latest_2022,76.8721086405015,2022.0,latest_2022,8.10223799188799,2023.0,direct_2023,83.87,2022.0,latest_2022,15.6598854445336,2023.0,direct_2023,2.759777831075e-06,2021.0,latest_2021,0.0,2021.0,latest_2021,0.0,2021.0,latest_2021,6.78656847475307,2021.0,latest_2021,Armenia,0.357311529443697,0.403333990949936,0.378819589473934,0.466234122812117,direct_ndgain,Armenia,75.5,33.0,44.5,81.0,61.0,46.0,partial_hofstede,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_hofstede,region_median_imputed,Global South,0.3341443538665772,0.4631740063428878,0.47559640407562254,0.5153415113687515,NonAligned,Hybrid,,,,,,,,,,,2.759777831075e-06,3928.0,2788.0,2781.0,88.0,direct_faostat_fbs_2023,direct_faostat_fbs_2023,,,0.0004760220850183894,direct_wmd_2023,3.9946626895205637,latest_2022,0.9238812470107373,derived_wb_energy_balance,,,269.8852138492872,derived_faostat_buffer,0.0004760220850183894,direct_wmd_2023,0.00015099862133879366,derived_wb_manufacturing_demand,0.3233598989928899,derived_wmd_wb_reserve_proxy,0.004834011857597561,derived_wmd_wb_reserve_proxy,8159.0872096799585,0.14915593169149516,0.6197296752,0.357311529443697,0.608923209788065,0.39531329691410066,0.5013242896616459,0.3869357482085137,1.2230902884758417,1.0489776163274702,0.5399666271021588,0.4619301083056785,0.5985851790452238,4.425716231816525,5.064691340002551
ASM,AS,American Samoa,East Asia & Pacific,High income,871000000.0,2022.0,latest_2022,47521.0,2023.0,direct_2023,102040328419.6615,,region_median_imputed,55.73318954187255,,region_median_imputed,0.0001,2023.0,direct_2023,34.75,,region_median_imputed,25.37720149,,region_median_imputed,1.604873274774315,,region_median_imputed,5142604807.85825,,region_median_imputed,1.11422121524811,2023.0,direct_2023,0.654167771339417,2023.0,direct_2023,1.21249115467072,2023.0,direct_2023,0.952084183692932,2022.0,latest_2022,0.42494,,region_median_imputed,17.1028060703212,,region_median_imputed,16.9755594437794,,region_median_imputed,1708.834224558845,,region_median_imputed,28.98047680538825,,region_median_imputed,8.16404265399846,,region_median_imputed,103.505,,region_median_imputed,5.15,2023.0,direct_2023,0.0,2021.0,latest_2021,0.0,2021.0,latest_2021,0.0,2021.0,latest_2021,0.0,2021.0,latest_2021,,0.43267145527006745,0.5223375703732085,0.4727751133763415,0.464177615655008,,,60.0,20.0,39.0,85.0,75.0,35.0,,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,East Asia,0.7228442430496219,0.6308335542678833,0.7424982309341439,0.6904168367385864,NonAligned,Democracy,,,,,,,,,,,0.0,57.61256737670464,34.84176106029362,36.74840663057701,0.06526181231038505,region_per_capita_imputed,region_per_capita_imputed,,,,,0.08120551118526087,region_median_imputed,0.05767176685151939,derived_wb_energy_balance,region_per_capita_imputed,region_ratio_imputed,3.484267621730232,derived_faostat_buffer,0.0,zero_imputed_no_wmd_production,8.676085796655973e-06,derived_wb_manufacturing_demand,0.020185118398031787,derived_wmd_wb_reserve_proxy,0.0,derived_wmd_wb_reserve_proxy,18328.738873340208,117.1530751086814,0.2537720149,0.43267145527006745,0.502443658125225,0.7093556022644047,0.6634920856952669,0.7549159479141239,1.3771779688836567,1.2932891776158928,0.24447537397655322,0.3295823774290026,0.31986255296250266,5.436992869636207,5.712878051047332
ATG,AG,Antigua and Barbuda,Latin America & Caribbean ,High income,2005785185.18518,2023.0,direct_2023,93316.0,2023.0,direct_2023,364367020.196401,2023.0,direct_2023,56.36707623161835,,region_median_imputed,0.3441,2023.0,direct_2023,39.2,,region_median_imputed,8.461538462,2022.0,latest_2022,1.32324399735374,,region_median_imputed,339405131.876536,,region_median_imputed,0.923393249511719,2023.0,direct_2023,0.380410820245743,2023.0,direct_2023,0.378593176603317,2023.0,direct_2023,0.741840481758118,2023.0,direct_2023,0.21928999999999998,,region_median_imputed,0.0,2023.0,direct_2023,2.61299721915496,2023.0,direct_2023,730.5723929666075,,region_median_imputed,13.31725266599755,,region_median_imputed,1.94326780682544,2023.0,direct_2023,89.95,2022.0,latest_2022,9.09090909090909,2023.0,direct_2023,0.0,2021.0,latest_2021,0.0,2021.0,latest_2021,0.0,2021.0,latest_2021,0.0,2021.0,latest_2021,Antigua and Barbuda,0.467682283209992,0.388430621169776,0.518990536827884,0.606309578738308,direct_ndgain,,75.5,33.0,44.5,81.0,24.0,46.0,,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,Global South,0.6846786499023437,0.5760821640491486,0.5757186353206634,0.6483680963516236,NonAligned,Hybrid,,,,,,,,,,,0.0,103.0,75.0,16.0,3.0,direct_faostat_fbs_2023,direct_faostat_fbs_2023,,,,,0.06817409342207195,region_median_imputed,0.05909517714830142,derived_wb_energy_balance,,,7.6383495145631075,derived_faostat_buffer,0.0,zero_imputed_no_wmd_production,2.5413890602745704e-06,derived_wb_manufacturing_demand,0.020683312001905495,derived_wmd_wb_reserve_proxy,0.0,derived_wmd_wb_reserve_proxy,21494.547400072657,0.1816580473759764,0.08461538462,0.467682283209992,0.54628942100117,0.6357193490862847,0.6094230408787727,0.4742759889735949,1.2783003153553283,0.8929062420250493,0.5430618420472626,0.348804569343486,0.344270177265795,5.552594391304827,5.718310635050377
