iso3,name,model_region,alliance_block,regime_type,src_gdp_usd_current,src_population,src_fx_reserves_usd,src_public_debt_pct_gdp,src_co2_mtco2e,src_inequality_gini,src_water_stress_pct,src_military_gdp_ratio,src_military_spending_usd,src_wgi_pv,src_wgi_ge,src_wgi_rl,src_wgi_va,src_rd_pct_gdp,src_high_tech_exports_pct,src_manufacturing_share_pct,src_energy_use_kg_oe_pc,src_energy_imports_net_pct,src_agri_share_pct,src_food_production_index,src_arable_land_pct,src_coal_rents_pct,src_gas_rents_pct,src_oil_rents_pct,src_mineral_rents_pct,src_climate_vulnerability,src_habitat_vulnerability,src_ecosystem_vulnerability,src_ndgain_governance_readiness,src_pdi,src_idv,src_mas,src_uai,src_lto,src_ind,src_energy_production_raw,src_energy_consumption_raw,src_energy_reserve_raw,src_food_production_raw,src_food_consumption_raw,src_food_reserve_raw,src_metals_production_raw,src_metals_consumption_raw,src_metals_reserve_raw
CHN,China,East Asia,Eurasian,Autocracy,direct_2023,direct_2023,direct_2023,region_median_imputed,direct_2023,latest_2022,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_wmd_2023_plus_wb_balance,direct_2023,derived_wmd_wb_reserve_proxy,direct_faostat_fbs_2023,direct_faostat_fbs_2023,derived_faostat_buffer,direct_wmd_2023,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy
HKG,Hong Kong SAR,East Asia,Eurasian,Hybrid,direct_2023,direct_2023,direct_2023,region_median_imputed,direct_2023,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,latest_2022,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,derived_wb_energy_balance,latest_2022,derived_wmd_wb_reserve_proxy,direct_faostat_fbs_2023,direct_faostat_fbs_2023,derived_faostat_buffer,zero_imputed_no_wmd_production,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy
IDN,Indonesia,East Asia,IndoPacific,Democracy,direct_2023,direct_2023,direct_2023,region_median_imputed,direct_2023,direct_2023,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2020,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_wmd_2023_plus_wb_balance,direct_2023,derived_wmd_wb_reserve_proxy,direct_faostat_fbs_2023,direct_faostat_fbs_2023,derived_faostat_buffer,direct_wmd_2023,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy
JPN,Japan,East Asia,Western,Democracy,direct_2023,direct_2023,direct_2023,region_median_imputed,direct_2023,latest_2020,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,direct_hofstede,direct_hofstede,direct_hofstede,direct_hofstede,direct_hofstede,direct_hofstede,direct_wmd_2023_plus_wb_balance,direct_2023,derived_wmd_wb_reserve_proxy,region_per_capita_imputed,region_per_capita_imputed,derived_faostat_buffer,direct_wmd_2023,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy
KOR,"Korea, Rep.",East Asia,Western,Democracy,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2021,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,direct_hofstede,direct_hofstede,direct_hofstede,direct_hofstede,direct_hofstede,direct_hofstede,direct_wmd_2023_plus_wb_balance,direct_2023,derived_wmd_wb_reserve_proxy,direct_faostat_fbs_2023,direct_faostat_fbs_2023,derived_faostat_buffer,direct_wmd_2023,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy
MYS,Malaysia,East Asia,IndoPacific,Hybrid,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2021,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2020,direct_2023,direct_2023,latest_2022,latest_2022,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_wmd_2023_plus_wb_balance,latest_2022,derived_wmd_wb_reserve_proxy,direct_faostat_fbs_2023,direct_faostat_fbs_2023,derived_faostat_buffer,direct_wmd_2023,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy
PHL,Philippines,East Asia,IndoPacific,Democracy,direct_2023,direct_2023,direct_2023,latest_2014,direct_2023,direct_2023,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2018,direct_2023,direct_2023,latest_2022,latest_2022,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_wmd_2023_plus_wb_balance,latest_2022,derived_wmd_wb_reserve_proxy,direct_faostat_fbs_2023,direct_faostat_fbs_2023,derived_faostat_buffer,direct_wmd_2023,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy
SGP,Singapore,East Asia,IndoPacific,Hybrid,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,region_median_imputed,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2020,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,derived_wb_energy_balance,direct_2023,derived_wmd_wb_reserve_proxy,region_per_capita_imputed,region_per_capita_imputed,derived_faostat_buffer,zero_imputed_no_wmd_production,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy
TWN,Taiwan,East Asia,Western,Democracy,manual_override,manual_override,manual_override,manual_override,manual_override,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,zero_imputed,zero_imputed,zero_imputed,zero_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,region_median_imputed,direct_wmd_2023_plus_wb_balance,region_median_imputed,derived_wmd_wb_reserve_proxy,direct_faostat_fbs_2023,direct_faostat_fbs_2023,derived_faostat_buffer,direct_wmd_2023,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy
THA,Thailand,East Asia,IndoPacific,Hybrid,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,direct_2023,direct_2023,direct_2023,direct_2023,direct_2023,latest_2022,direct_2023,latest_2021,latest_2021,latest_2021,latest_2021,direct_ndgain,direct_ndgain,direct_ndgain,direct_ndgain,direct_hofstede,direct_hofstede,direct_hofstede,direct_hofstede,direct_hofstede,direct_hofstede,direct_wmd_2023_plus_wb_balance,direct_2023,derived_wmd_wb_reserve_proxy,direct_faostat_fbs_2023,direct_faostat_fbs_2023,derived_faostat_buffer,direct_wmd_2023,derived_wb_manufacturing_demand,derived_wmd_wb_reserve_proxy
