id,name,region,regime_type,alliance_block,gdp,population,fx_reserves,public_debt_pct_gdp,energy_reserve,energy_production,energy_consumption,food_reserve,food_production,food_consumption,metals_reserve,metals_production,metals_consumption,trust_gov,social_tension,inequality_gini,climate_risk,co2_annual_emissions,biodiversity_local,pdi,idv,mas,uai,lto,ind,traditional_secular,survival_self_expression,tech_level,security_index,military_power,water_stress,regime_stability,debt_crisis_prone,conflict_proneness
USA,United States,North America,Democracy,Western,27.66466796423209,339205987.77435863,0.7093639763130419,39.86545154405485,3280.637663140589,0.0184581915519178,2141.5842776308887,26.391491809128,98.86464967457223,38.08506026310212,0.0,400.5754305935602,285.42713302435453,0.6219351448247922,0.42,41.62655577107367,0.3420522689428603,3.696000423333927,0.5583143245191795,40.0,91.0,62.0,46.0,26.0,68.0,7.902089514095418,6.975174314741716,1.825018809032393,0.67,1.7,0.2815525982,0.68,0.897433943218811,0.55
CHN,China,East Asia,Autocracy,Eurasian,18.60784889314665,1420101435.516024,3.30131972751898,13.697071160496035,3620.435475429677,0.0203700311856036,4018.695016693778,78.18285894698359,465.2635606934493,332.4706040083425,0.0,719.248980192993,475.9769796764503,0.4228506465507238,0.4893850665963256,36.37399787781129,0.4085405143145436,11.021387154791787,0.529233635217656,60.0,20.0,39.0,85.0,75.0,35.0,4.081534809440781,4.793627865256795,1.3715302497790394,0.4848711307270709,1.5098069593087815,0.415185288,0.4687133872881532,0.6,0.4519613918617562
DEU,Germany,Europe,Democracy,Western,4.655507117461164,84125649.34015965,0.100391907874527,2.2780974952168505,27.89829378668645,0.0001569670605419,243.6900886012114,2.743667631199793,13.648676067318254,8.290662873464802,0.0,111.54609897293844,81.01208200689462,0.6936953123386139,0.2792993027641877,32.11657483115701,0.3363914981369365,0.4800485235823939,0.6698280538561355,48.0,61.5,48.5,74.5,61.0,49.0,7.058494501771382,6.700682893889727,1.7032050081916923,0.6225878691673277,1.4604174162026335,0.3535165707,0.6895458781719207,0.9137435253848136,0.2420834832405267
JPN,Japan,East Asia,Democracy,Western,4.301351400981444,125439709.5133387,1.23854106344621,13.775597542291653,17.668080524686843,9.940775183541006e-05,378.1266680893736,1.0902422003008905,10.83551309247818,10.273325913937189,0.0,111.07525813760668,80.73142558367826,0.7263282803481919,0.2692708678223253,31.98151489229074,0.3933853372723085,0.8230391736201728,0.50374878238322,54.0,46.0,95.0,92.0,88.0,42.0,6.1166300589405855,6.6155028123323625,1.6333776071081072,0.7229406141733568,1.381580024665323,0.3664367816,0.7466525566577912,0.6,0.2763160049330646
IND,India,South Asia,Democracy,IndoPacific,3.731723258983143,1469631883.4292812,0.574508789079883,10.509967409230892,1058.0807868096697,0.0059531895459739,1083.7114594224136,24.319681576573,128.9760446524627,88.3897755167647,18.294008974419363,74.25869893808402,43.117844439338455,0.5087830429205542,0.4501130364120768,25.821519931462863,0.5081280618594548,2.674632006599272,0.5039301345679554,77.0,48.0,56.0,40.0,51.0,26.0,2.1204496791234955,5.290860359901587,0.8333854343344815,0.4852055087024013,1.405306494983566,0.6649209283,0.4585641705989838,0.6,0.4310612989967132
GBR,United Kingdom,Europe,Democracy,Western,3.4649992026923018,69200566.19028404,0.157340769137404,45.52800296949213,57.71768774360626,0.0003247430059939,145.6097795646453,2.5858024002957114,12.298578859999862,7.0015409464022325,0.0,40.4167104568139,29.368100370809543,0.6792944383930837,0.2432962471288319,31.95499123858341,0.3092155110351887,0.2474039022213039,0.6479002193989329,35.0,89.0,66.0,35.0,51.0,69.0,7.305731149879313,7.228274120150694,1.704846380442694,0.6128853468655024,1.488439391749944,0.1435464621,0.6730069309473037,0.8183655926787512,0.2476878783499888
AG_GLOBAL_S,Rest of Global South,Global South,Mixed,IndoPacific,3.2730974472352963,1261966729.5029197,0.3169760002646187,47.76300301307673,11740.925246318431,0.0660591840507705,813.9841299774386,16.356171510898367,104.09510760054911,81.59777505062463,152.95991478419108,81.84018998832464,32.62310571767602,0.2730077459056,0.5716417173776177,39.99811300834308,0.4943306436893097,1.1600514499715184,0.4544617115821966,75.35402950766694,33.10842169622831,45.0566537770996,80.87729341899954,23.59697838617268,47.858763630795536,1.893407568802136,4.410119874971987,0.7459460180925033,0.2825572411250919,1.2151250397729911,0.2210834708964928,0.31294028245931,0.6126287036979478,0.2430250079545982
FRA,France,Europe,Democracy,Western,3.1134228033548466,69040812.84631011,0.0792009053842541,7.146130412795646,41.33385998317249,0.0002325609785321,214.25555697055444,4.2177083047480055,15.654639506509072,6.562761571502779,0.0,41.00716501984137,29.67693827672043,0.6684103039414279,0.2729842706300646,31.48382684446072,0.3278124937209821,0.2337379180781833,0.650440067787501,68.0,71.0,43.0,86.0,63.0,48.0,6.624837368570169,6.656600710513166,1.611668929717622,0.5868800296867126,1.4138618416499678,0.2138462716,0.6426203685998916,0.8982458722934621,0.2327723683299936
ITA,Italy,Europe,Democracy,Western,2.3565243445328226,59556434.48718055,0.0848194546539834,7.411767262613913,11.632502586554637,6.544915440776124e-05,135.4623811480131,1.1961872148700077,7.726774014843396,6.026555143378452,0.0,42.55872588149927,30.93638077559749,0.5988694455232887,0.3311768884412145,34.17119151764054,0.3661848939329086,0.2549096939884937,0.634998665309929,50.0,76.0,70.0,75.0,61.0,30.0,6.667596920996734,6.102446990943436,1.4550370533287995,0.4812051358443964,1.258234558108264,0.2976738039,0.6081246912479401,0.8560261771099187,0.2016469116216528
BRA,Brazil,South America,Democracy,Latin,2.223646674673317,212385809.64669272,0.346424359999494,24.962882733239805,892.9029572024208,0.0050238324111472,312.5013278959992,18.350273015704964,62.45291356387491,17.3108590677124,130.8104662504865,51.17027997366243,25.01967009561639,0.3524655205606409,0.5082560640735956,51.99991381522413,0.3711908745751694,0.4183590338508491,0.4831444445658395,69.0,38.0,49.0,76.0,44.0,59.0,4.12441769186746,5.082219842992012,1.1205965113861505,0.3689828795145979,1.0705531666248551,0.01495816821,0.4177468287944794,0.6,0.214110633324971
