year,emissions_gtco2
1750,0.009306
1751,0.009407
1752,0.009505
1753,0.009610
1754,0.009734
1755,0.009793
1756,0.009910
1757,0.010094
1758,0.010216
1759,0.010339
1760,0.010514
1761,0.010748
1762,0.010952
1763,0.011192
1764,0.011397
1765,0.011643
1766,0.011876
1767,0.012153
1768,0.012467
1769,0.012780
1770,0.013097
1771,0.013369
1772,0.013624
1773,0.013808
1774,0.014012
1775,0.014339
1776,0.014654
1777,0.014960
1778,0.015243
1779,0.015535
1780,0.015879
1781,0.016234
1782,0.016581
1783,0.017063
1784,0.017471
1785,0.017965
1786,0.018447
1787,0.018859
1788,0.019286
1789,0.019863
1790,0.020398
1791,0.020932
1792,0.021929
1793,0.022297
1794,0.022520
1795,0.022315
1796,0.022121
1797,0.022090
1798,0.023106
1799,0.027485
1800,0.032798
1801,0.031986
1802,0.040310
1803,0.029539
1804,0.031769
1805,0.031252
1806,0.032705
1807,0.036201
1808,0.035498
1809,0.036334
1810,0.039492
1811,0.040177
1812,0.040815
1813,0.041206
1814,0.042227
1815,0.043587
1816,0.045497
1817,0.049276
1818,0.051392
1819,0.050930
1820,0.050733
1821,0.052059
1822,0.054022
1823,0.056358
1824,0.057584
1825,0.060731
1826,0.061382
1827,0.065739
1828,0.066682
1829,0.066307
1830,0.088988
1831,0.083251
1832,0.082092
1833,0.083249
1834,0.088763
1835,0.097400
1836,0.106895
1837,0.106199
1838,0.105845
1839,0.109653
1840,0.118809
1841,0.122166
1842,0.129389
1843,0.132369
1844,0.141966
1845,0.155073
1846,0.157702
1847,0.170797
1848,0.173643
1849,0.185048
1850,0.196848
1851,0.198779
1852,0.207595
1853,0.217237
1854,0.255039
1855,0.260260
1856,0.278246
1857,0.281181
1858,0.285548
1859,0.302572
1860,0.332298
1861,0.349190
1862,0.355991
1863,0.379535
1864,0.409525
1865,0.434851
1866,0.449067
1867,0.480814
1868,0.494494
1869,0.524731
1870,0.536123
1871,0.569777
1872,0.630961
1873,0.670467
1874,0.628662
1875,0.681048
1876,0.690582
1877,0.704033
1878,0.709650
1879,0.759794
1880,0.858228
1881,0.888173
1882,0.938158
1883,0.997862
1884,1.009762
1885,1.017489
1886,1.032987
1887,1.084283
1888,1.201342
1889,1.202098
1890,1.307256
1891,1.369598
1892,1.380536
1893,1.363179
1894,1.412227
1895,1.495964
1896,1.545451
1897,1.618405
1898,1.706967
1899,1.864424
1900,1.962884
1901,2.025628
1902,2.076956
1903,2.264592
1904,2.290255
1905,2.440571
1906,2.548978
1907,2.904949
1908,2.790395
1909,2.907112
1910,3.050273
1911,3.097207
1912,3.253929
1913,3.524846
1914,3.197750
1915,3.148031
1916,3.400232
1917,3.556498
1918,3.506085
1919,3.041113
1920,3.546758
1921,3.114994
1922,3.264717
1923,3.702996
1924,3.716143
1925,3.740633
1926,3.677407
1927,4.012947
1928,3.996310
1929,4.288210
1930,3.958095
1931,3.539319
1932,3.192590
1933,3.362682
1934,3.656186
1935,3.835741
1936,4.207929
1937,4.496713
1938,4.229617
1939,4.470132
1940,4.884662
1941,4.999090
1942,4.982523
1943,5.075273
1944,5.162486
1945,4.289312
1946,4.608545
1947,5.165203
1948,5.447883
1949,5.204033
1950,5.930406
1951,6.381651
1952,6.467700
1953,6.651039
1954,6.789734
1955,7.444103
1956,7.926275
1957,8.185976
1958,8.417516
1959,8.855113
1960,9.386952
1961,9.414990
1962,9.747241
1963,10.266778
1964,10.824470
1965,11.310602
1966,11.862625
1967,12.237371
1968,12.905273
1969,13.761798
1970,14.899139
1971,15.503863
1972,16.224580
1973,17.077285
1974,16.997913
1975,16.988476
1976,17.862492
1977,18.358039
1978,19.024742
1979,19.508590
1980,19.409793
1981,18.879756
1982,18.729742
1983,18.901776
1984,19.457250
1985,20.144863
1986,20.438045
1987,21.106190
1988,21.918757
1989,22.200214
1990,22.732145
1991,23.205591
1992,22.520424
1993,22.749872
1994,22.974597
1995,23.516640
1996,24.233476
1997,24.380322
1998,24.295713
1999,24.837771
2000,25.511483
2001,25.692994
2002,26.265332
2003,27.652692
2004,28.610023
2005,29.598951
2006,30.594152
2007,31.499256
2008,32.049660
2009,31.513014
2010,33.317670
2011,34.479990
2012,34.954736
2013,35.275820
2014,35.465695
2015,35.403526
2016,35.392830
2017,35.974610
2018,36.734005
2019,37.086570
2020,35.158230
2021,36.866863
2022,37.527773
2023,38.094040
2024,38.598580
