parameter,value,unit,module,source_tag,uncertainty_level,calibration_status
ALPHA_CAPITAL,0.3,dimensionless,gim.core.calibration_params,PWT10,low,validated
BASE_BIRTH_RATE,0.025,dimensionless,gim.core.calibration_params,WDI23,low,validated
BASE_DEATH_RATE,0.012,dimensionless,gim.core.calibration_params,WDI23,low,validated
BASE_INTEREST_RATE,0.02,dimensionless,gim.core.calibration_params,WEO25,medium,unspecified
BETA_LABOR,0.6,dimensionless,gim.core.calibration_params,PWT10,low,validated
BIODIVERSITY_RISK_DAMP,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
BIODIVERSITY_TEMP_DAMAGE,0.004,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
BIRTH_GDP_PC_DECAY,1e-06,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
BIRTH_GINI_DAMP,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
BIRTH_PROSPERITY_DAMP,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
BIRTH_RATE_MAX,0.04,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
BIRTH_RATE_MIN,0.006,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
BIRTH_SCARCITY_DAMP,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CAPITAL_CLEARING_MAX,1.5,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CAPITAL_CLEARING_MIN,0.5,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CAPITAL_CLEARING_SENS,0.3,dimensionless,gim.core.calibration_params,BACKTEST,medium,unspecified
CAPITAL_DEPRECIATION,0.05,dimensionless,gim.core.calibration_params,PWT10,low,validated
CAPITAL_MARKET_CLEARING,true,bool,gim.core.calibration_params,E3.2/E3,unspecified,unspecified
CARBON_CYCLE_FEEDBACK,false,bool,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CARBON_FEEDBACK_CH4_WM2_PER_C,0,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CARBON_FEEDBACK_CO2_GTCO2_PER_C,0,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CARBON_FEEDBACK_T_REF,0,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CARBON_POOL_FRACTIONS,"[0.2173, 0.224, 0.2824, 0.2763]",vector,gim.core.calibration_params,IPCC_AR6,low,validated
CARBON_POOL_TIMESCALES,"[inf, 394.4, 36.54, 4.304]",vector,gim.core.calibration_params,IPCC_AR6,low,validated
CARBON_PRICE_PASSTHROUGH,0.003,dimensionless,gim.core.calibration_params,D1,unspecified,unspecified
CARBON_PRICE_USD_PER_TCO2,0,dimensionless,gim.core.calibration_params,D1,unspecified,unspecified
CARBON_TIPPING,false,bool,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CARBON_TIPPING_ALPHA,1.5,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CARBON_TIPPING_BASE_PROB,0,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CARBON_TIPPING_SCALE_GTCO2,5,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CARBON_TIPPING_TEMP_SENS,0.02,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CARBON_TIPPING_T_THRESHOLD,1.5,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CBR_LOGISTIC_K,1.6,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CBR_LOGISTIC_MAX,0.044,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CBR_LOGISTIC_MID_GDP_PC,6000,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CBR_LOGISTIC_MIN,0.009,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CDR_LOGISTIC_K,1.5,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
