parameter,value,unit,module,source_tag,uncertainty_level,calibration_status
ALPHA_CAPITAL,0.3,dimensionless,gim.core.calibration_params,PWT10,low,validated
BASE_BIRTH_RATE,0.025,dimensionless,gim.core.calibration_params,WDI23,low,validated
BASE_DEATH_RATE,0.012,dimensionless,gim.core.calibration_params,WDI23,low,validated
BASE_INTEREST_RATE,0.02,dimensionless,gim.core.calibration_params,WEO25,medium,unspecified
BETA_LABOR,0.6,dimensionless,gim.core.calibration_params,PWT10,low,validated
BIODIVERSITY_RISK_DAMP,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
BIODIVERSITY_TEMP_DAMAGE,0.004,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
BIRTH_GDP_PC_DECAY,1e-06,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
BIRTH_GINI_DAMP,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
BIRTH_PROSPERITY_DAMP,0.5,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
BIRTH_RATE_MAX,0.04,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
BIRTH_RATE_MIN,0.006,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
BIRTH_SCARCITY_DAMP,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CAPITAL_DEPRECIATION,0.05,dimensionless,gim.core.calibration_params,PWT10,low,validated
CARBON_POOL_FRACTIONS,"[0.2173, 0.224, 0.2824, 0.2763]",vector,gim.core.calibration_params,IPCC_AR6,low,validated
CARBON_POOL_TIMESCALES,"[inf, 394.4, 36.54, 4.304]",vector,gim.core.calibration_params,IPCC_AR6,low,validated
CLIMATE_ADAPT_BASE,0.005,dimensionless,gim.core.calibration_params,PRIOR,high,prior
CLIMATE_ADAPT_RISK_SENS,0.015,dimensionless,gim.core.calibration_params,PRIOR,high,prior
CO2_INTENSITY_FLOOR,0.02,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CONTAGION_DEBT_THRESHOLD,0.9,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CONTAGION_SPREAD_CAP,0.05,dimensionless,gim.core.calibration_params,UNSPECIFIED,unspecified,unspecified
CONTAGION_SPREAD_SENS,0.02,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CRISK_BASE_CONST,0.3,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CRISK_GINI_WEIGHT,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,questionable
CRISK_RESPONSE_RATE,0.06,dimensionless,gim.core.calibration_params,PRIOR,high,prior
CRISK_TEMP_SENSITIVITY,0.45,dimensionless,gim.core.calibration_params,PRIOR,high,prior
CRISK_WATER_WEIGHT,0.45,dimensionless,gim.core.calibration_params,PRIOR,high,prior
CR_FINANCIAL_BLEND_NEXT_W,0.4,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_BLEND_NOW_W,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_DEBT_GDP_HI,1.8,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_DEBT_GDP_LO,0.6,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_NEXT_GROWTH_W,0.35,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_NEXT_STRESS_W,0.65,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_NOW_CRISIS_W,0.15,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_NOW_DEBT_W,0.35,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_NOW_RATE_W,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_NOW_STRESS_W,0.25,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
CR_FINANCIAL_RATE_HI,0.2,dimensionless,gim.core.calibration_params,PRIOR,high,unspecified
