country,iso3,year,ppp_gdp_const2021intl_usd,co2_mtco2_ar5
United States,USA,2015,20711851459029.9,5132.9841
United States,USA,2016,21088693546497.8,5028.952
United States,USA,2017,21606973981564.2,4959.4579
United States,USA,2018,22247945959987.6,5118.3744
United States,USA,2019,22822794024024.9,4967.9122
United States,USA,2020,22329130338640.6,4466.8765
United States,USA,2021,23681171000000,4754.3785
United States,USA,2022,24276130895657.9,4815.7665
United States,USA,2023,24977117771722.8,4618.2675
China,CHN,2015,20500277500109.2,10749.8966
China,CHN,2016,21889285206099.4,10773.7258
China,CHN,2017,23397734154416.1,10999.4188
China,CHN,2018,24978653070010,11527.5117
China,CHN,2019,26494483218696,11813.0582
China,CHN,2020,27114504049776,11964.1285
China,CHN,2021,29438240129870.1,12551.8645
China,CHN,2022,30360890176120.6,12518.6844
China,CHN,2023,32004884803945.3,13021.242
Japan,JPN,2015,5516229705512.24,1232.5762
Japan,JPN,2016,5557812520391.56,1228.6537
Japan,JPN,2017,5650924318247.5,1212.9423
Japan,JPN,2018,5687281858057.76,1163.1278
Japan,JPN,2019,5664409362056.56,1123.813
Japan,JPN,2020,5428273471388.26,1060.2269
Japan,JPN,2021,5574650884739.54,1080.206
Japan,JPN,2022,5627164027811.25,1050.5032
Japan,JPN,2023,5710166656067.31,1002.4382
Germany,DEU,2015,4866374389150.05,784.9143
Germany,DEU,2016,4974516039340.52,789.2489
Germany,DEU,2017,5113698357920.12,774.4767
Germany,DEU,2018,5171774427975.31,746.6974
Germany,DEU,2019,5222340661010.2,696.5002
Germany,DEU,2020,5006558013528.86,642.0878
Germany,DEU,2021,5202314428956.09,670.667
Germany,DEU,2022,5296437725413.92,658.0886
Germany,DEU,2023,5250377382984.22,589.6596
India,IND,2015,8616416873256.67,2278.2296
India,IND,2016,9327814573620.6,2311.9771
India,IND,2017,9961675338509.53,2441.2015
India,IND,2018,10604587056326.2,2556.7189
India,IND,2019,11015136957033.9,2551.4851
India,IND,2020,10378712667572,2356.959
India,IND,2021,11384367630967.9,2597.9343
India,IND,2022,12250645714410.2,2807.0805
India,IND,2023,13376572539398.9,3014.5226
United Kingdom,GBR,2015,3231796162259.34,415.8847
United Kingdom,GBR,2016,3303106397607.75,391.8614
United Kingdom,GBR,2017,3402966643457.11,380.7118
United Kingdom,GBR,2018,3455757918242.05,373.8821
United Kingdom,GBR,2019,3499172570328.69,359.0131
United Kingdom,GBR,2020,3147579327299.14,319.6964
United Kingdom,GBR,2021,3416480549650.65,337.9148
United Kingdom,GBR,2022,3592419181254.14,324.9949
United Kingdom,GBR,2023,3602177989697.14,304.7866
France,FRA,2015,3372859106073.87,332.1533
France,FRA,2016,3401866742516.37,334.7732
France,FRA,2017,3472748543479.96,338.709
France,FRA,2018,3529906814718.25,328.5501
France,FRA,2019,3601473785622.54,322.9043
France,FRA,2020,3333500874071.68,287.0868
France,FRA,2021,3562923665911.39,316.7044
France,FRA,2022,3659719845024.82,307.6802
France,FRA,2023,3712391079956.77,284.1541
Italy,ITA,2015,2849572563276.21,353.7401
Italy,ITA,2016,2884799580139.13,349.1697
Italy,ITA,2017,2931063109648.27,345.6817
Italy,ITA,2018,2955292646480.9,340.3734
Italy,ITA,2019,2967975655283.17,332.562
Italy,ITA,2020,2704769008361.9,295.2134
Italy,ITA,2021,2946333608376.65,330.3484
Italy,ITA,2022,3088381557782.51,331.006
Italy,ITA,2023,3118514737285.23,304.3081
Brazil,BRA,2015,3702171668947.24,517.9408
Brazil,BRA,2016,3580891601343.17,482.7112
Brazil,BRA,2017,3628262108191.33,494.7579
Brazil,BRA,2018,3692978213430.52,471.0836
Brazil,BRA,2019,3738061272457.94,468.5794
Brazil,BRA,2020,3615574020907.98,447.921
Brazil,BRA,2021,3787769507579.26,506.2334
Brazil,BRA,2022,3902034936460.01,479.2664
Brazil,BRA,2023,4028525459883.49,480.235
Canada,CAN,2015,1987343333305.37,574.3793
Canada,CAN,2016,2007982905874.52,574.0983
Canada,CAN,2017,2068901792299.98,591.893
Canada,CAN,2018,2125651012259.85,612.5836
Canada,CAN,2019,2166217615236.3,609.0758
Canada,CAN,2020,2057078515077.34,548.4454
Canada,CAN,2021,2179485548675.88,561.7344
Canada,CAN,2022,2270784989049.25,575.8352
Canada,CAN,2023,2305499512574.39,567.0969
South Korea,KOR,2015,2287974804720.38,643.7994
South Korea,KOR,2016,2360538554612.69,648.8158
South Korea,KOR,2017,2441580369855.04,665.288
South Korea,KOR,2018,2519127786865.1,680.496
South Korea,KOR,2019,2577415418649.28,654.9901
South Korea,KOR,2020,2559367265189.04,617.3408
South Korea,KOR,2021,2677430056971.27,638.7702
South Korea,KOR,2022,2750458690513.83,613.5467
South Korea,KOR,2023,2793998855187.97,590.365
