id,military_spending_musd,n_members,source_year
ARE,27352.6,1,2014
ARG,4882.4,1,2023
AUS,32388.0,1,2023
AUT,4452.2,1,2023
BEL,7629.4,1,2023
BGD,3782.8,1,2023
BRA,21788.3,1,2023
CAN,27227.7,1,2023
CHE,6289.2,1,2023
CHL,5470.1,1,2023
CHN,296821.4,1,2023
COL,10779.2,1,2023
CZE,5056.3,1,2023
DEU,67285.2,1,2023
DNK,8132.6,1,2023
EGY,3167.2,1,2023
ESP,23821.2,1,2023
FIN,5928.0,1,2023
FRA,59492.0,1,2023
GBR,75303.4,1,2023
HKG,0.0,0,0
IDN,11258.8,1,2023
IND,82293.3,1,2023
IRL,1269.2,1,2023
IRN,7390.9,1,2023
IRQ,5518.9,1,2023
ISR,27498.5,1,2023
ITA,36933.2,1,2023
JPN,48189.1,1,2023
KOR,47801.9,1,2023
MEX,11825.9,1,2023
MYS,3925.4,1,2023
NGA,3101.3,1,2023
NLD,16624.8,1,2023
NOR,8797.8,1,2023
PAK,8626.2,1,2023
PHL,5142.6,1,2023
POL,26342.8,1,2023
PRT,4236.2,1,2023
ROU,5628.0,1,2023
RUS,109203.6,1,2023
SAU,77765.3,1,2023
SGP,14181.5,1,2023
SWE,8754.9,1,2023
THA,5745.7,1,2023
TUR,19577.8,1,2023
USA,916014.7,1,2023
VNM,6124.4,1,2018
ZAF,2876.5,1,2023
TWN,16344.6,1,2023
AG_EAST_ASI,4443.0,6,0
AG_EUROPE,93494.8,21,0
AG_GLOBAL_S,35511.0,67,0
AG_MIDDLE_E,65589.7,11,0
AG_OCEANIA,3199.4,3,0
AG_SOUTH_AM,3308.6,1,0
AG_SOUTH_AS,1896.6,3,0
