id,name,region,regime_type,alliance_block,gdp,population,fx_reserves,public_debt_pct_gdp,energy_reserve,energy_production,energy_consumption,food_reserve,food_production,food_consumption,metals_reserve,metals_production,metals_consumption,trust_gov,social_tension,inequality_gini,climate_risk,co2_annual_emissions,biodiversity_local,pdi,idv,mas,uai,lto,ind,traditional_secular,survival_self_expression,tech_level,security_index,military_power,water_stress,regime_stability,debt_crisis_prone,conflict_proneness
C01,United States,North America,Democracy,Western,20.533057312,324608580.5103717,0.39609395656595964,84.50813552584297,2.4730023143331192,0.050169192818114376,0.20636419127818198,8.862833125423359,196.5164109182545,192.38383525648663,0.0,321.18283047602984,142.61519233480252,0.5514468651524795,0.2863502640248158,42.40098996481064,0.6135041366945115,5.1013379763298445,0.6660004824933335,40.0,91.0,62.0,46.0,26.0,68.0,4.5,7.5,1.0004044514532564,0.5,0.85,0.3957842753148658,0.6623489760414234,0.2194699664250736,0.3782423729931513
C02,China,East Asia,Autocracy,Eurasian,14.147765772963801,1391871495.687594,3.34519376388814,53.584601745151325,2.4730023143331192,0.050169192818114376,0.1381475825674942,8.935167159992341,702.2374220562623,708.7228889460962,0.0,192.3089730429862,85.24284736890006,0.5563641604928984,0.32324249690435763,36.30766325882834,0.7399433626747064,11.099642182284747,0.5085575147905875,80.0,20.0,66.0,30.0,87.0,24.0,7.0,4.0,1.0002020110028786,0.5,0.6699999999999999,0.5261307160768232,0.7567034881103836,0.586924674033501,0.5213495470650329
C03,Japan,East Asia,Democracy,Western,5.04088093932486,128412858.2673792,1.2467717291559917,153.90625118523874,0.30912528929163985,0.006271149102264295,0.031857003998506536,9.571434981210093,60.00704007862156,57.85090445811441,0.0,43.80473053476786,19.629582988368057,0.31572748574047815,0.5337927433756794,32.720737521199545,0.6943772605763632,1.2702077471007025,0.6371583630443984,54.0,46.0,95.0,92.0,88.0,42.0,7.5,6.5,1.00036930089269,0.5,0.6,0.5951465337549102,0.5003391772506796,0.5002850310909868,0.4026229351959982
C04,Germany,Europe,Democracy,Western,4.05543321530196,82820612.04427782,0.07522712603661659,17.32457300840237,0.6182505785832798,0.012542298204528594,0.03449620641622288,11.09070725321537,39.12374295152202,39.06606443047599,0.0,50.12042148326836,22.346737065079292,0.5624463904770033,0.29544277843160327,33.32710460922522,0.5981276590903135,0.8015934715369718,0.5913583938674039,35.0,67.0,66.0,65.0,83.0,40.0,8.0,7.5,1.0004047604697246,0.5,0.65,0.2693919756361003,0.6709547508980012,0.218069052279073,0.448153938029727
C05,India,South Asia,Democracy,IndoPacific,2.70292964164874,1358418933.9236202,0.334310993025188,28.222101677712157,1.545626446458199,0.03135574551132147,0.027511693370218186,9.981971831482626,579.9908508876415,582.7720490613794,0.0,36.70142915554834,16.18019893497074,0.5701747450457257,0.29830302826742694,25.448016892483533,0.6177381077933283,2.667818370819854,0.6058728743374936,77.0,48.0,56.0,40.0,51.0,26.0,3.5,4.5,1.0002023653574976,0.5,0.74,0.7482418138556036,0.6259328143826288,0.7223365336846855,0.4699296523087955
C06,United Kingdom,Europe,Democracy,Western,2.89702800991605,66187238.61522008,0.137534739505898,163.2240703317142,0.30912528929163985,0.006271149102264295,0.025865659658655626,9.331433545075274,31.221390337870876,31.967329162298828,0.0,32.40248206207908,14.235902364668458,0.5623710174458831,0.28475111230904815,33.9696071203625,0.5014207367022001,0.3540169570050993,0.592886836397156,35.0,89.0,66.0,35.0,51.0,69.0,6.5,7.5,1.0004022701819153,0.5,0.7,0.3210591051612422,0.5993008139124154,0.2041034979217373,0.3571891625682956
C07,France,Europe,Democracy,Western,2.78157632088439,67484628.66995512,0.055192504338294,78.75726136325052,0.30912528929163985,0.006271149102264295,0.02310921934199133,9.054888032673198,35.46617575820218,35.01830646746826,0.0,28.6704573083404,12.625522508265831,0.5630711555656457,0.29315819208624383,32.723180839614265,0.49858151758363284,0.32705176376329387,0.5929055618007074,68.0,71.0,43.0,86.0,63.0,48.0,7.5,7.0,1.0004047673056604,0.5,0.69,0.2625626061875527,0.6837568562275942,0.2106063416183932,0.4487511955411998
C08,Italy,Europe,Democracy,Western,2.09943526645867,61044289.159665555,0.0470336929795149,123.1554457593482,0.30912528929163985,0.006271149102264295,0.01751746682708092,11.683518881782387,32.22430464189468,33.802350089277034,0.0,23.62246075519782,10.434757951093536,0.5600111730109405,0.2920267926389576,34.9553518392603,0.5278710608916886,0.35092335144883835,0.5938180357708973,50.0,76.0,70.0,75.0,61.0,30.0,6.5,6.5,1.000402430663624,0.5,0.65,0.2950214002445436,0.5736271677842548,0.2106883565615579,0.3751950787714537
C09,Brazil,South America,Democracy,Latin,1.91693370835271,202853182.3803849,0.354174892918288,58.185083307291414,0.9273758678749194,0.018813447306792887,0.01656779825847293,9.808442627596627,115.81480450987476,110.63863073716207,0.0,23.18479785989953,10.342757663892547,0.5370543072662299,0.33040403267689716,52.34346622923031,0.5377797479095431,0.5509524669748794,0.8286107488159496,69.0,38.0,49.0,76.0,44.0,59.0,4.0,5.5,1.0002010630323368,0.5,0.64,0.4247980162414667,0.6758384135908102,0.7033722519983744,0.3270361678880112
C10,Canada,North America,Democracy,Western,1.72532919278302,36661456.17432814,0.0796954458698993,30.121968372664934,4.848480220588234,0.024999999999999998,0.016433267674913953,10.639588398949774,22.157462415449604,22.830124680166897,0.0,22.73047092051351,10.049247098735071,0.5639740577140472,0.28855093663667936,32.16623427339735,0.5111538460280646,0.5653760124004714,0.6957247649950673,39.0,80.0,52.0,48.0,36.0,68.0,5.5,7.5,1.0004049010520304,0.5,0.63,0.3135427912744069,0.6410837030231167,0.2767727952452168,0.3200777769259371
C11,South Korea,East Asia,Democracy,Western,1.82425145430683,51794829.57225939,0.363149330364607,5.924264674512402,6.489891127450978,0.024999999999999998,0.013949086953697504,11.888106360639812,22.34817551985029,23.450519107631735,0.0,21.285150438900065,9.352921093452347,0.5606725245732258,0.32001953255410137,33.38021483505879,0.8444271179090937,0.6645044033136625,0.6443913637710327,60.0,18.0,39.0,85.0,100.0,29.0,6.0,6.0,1.0004038333258052,0.5,0.78,0.5097499816689529,0.6821231437156319,0.463974538338331,0.3052543372541993
C12,Russia,Europe,Hybrid,Eurasian,1.65732877346131,145900924.33174166,0.319835210258841,0.0,4.848480220588234,0.024999999999999998,0.015663270628705265,10.3444346595413,68.13756149372794,65.27234480043286,0.0,21.17909519031686,9.505536728725279,0.5608368101591511,0.3098774862365065,33.91007420350667,0.7329969158388094,1.884700846499707,0.5852134339654098,93.0,39.0,36.0,95.0,81.0,20.0,5.5,4.5,1.000201525403956,0.5,0.9,0.331809164694839,0.525647564962808,0.4888266593985066,0.5110525335398564
C13,Australia,Oceania,Democracy,Western,1.43314497876167,24932650.88307404,0.042752855070596,29.66995839298852,1.5656584068627444,0.024999999999999998,0.013114697908298832,10.0254115327272,16.662561719840827,16.831002392598876,0.0,17.547591133360317,7.8019586949321225,0.5607695298327081,0.28467463212201194,35.6373032399179,0.7408162761315491,0.3650643964081675,0.8969355308572238,36.0,90.0,61.0,51.0,21.0,71.0,6.0,8.0,1.0004044749295966,0.5,0.7,0.265570078064151,0.5851027157024393,0.4972428797727028,0.3741795627808728
C14,Spain,Europe,Democracy,Western,1.4316428093270601,47090460.19851433,0.0443776622358777,72.24678317221827,1.5656584068627444,0.024999999999999998,0.012245383235345136,11.110938222669262,22.356498742246433,23.329742101757446,0.0,17.55700814808411,7.684388274151579,0.5609862002199807,0.30413177798524266,34.24213253314284,0.5261327339067224,0.27640422576873563,0.594885353081365,57.0,51.0,42.0,86.0,48.0,44.0,6.5,6.5,1.000605626213635,0.5,0.62,0.3418576692518522,0.5961419414667877,0.2670782805045285,0.3496846286991404
C15,Mexico,North America,Democracy,Latin,1.25630018287973,121922396.52254279,0.173457747218176,38.49340164126991,1.2373762254901968,0.024999999999999998,0.013597615218334873,10.647300559148505,83.11867058963362,82.05270169808682,0.0,17.645296045186377,7.9247424739456,0.546917190529885,0.32702140186375783,45.13450123102383,0.597909578395844,0.4470808138597914,0.6867203830041885,81.0,30.0,69.0,82.0,24.0,97.0,4.0,5.5,1.0006044401053042,0.5,0.55,0.3788364965331059,0.6913188773343681,0.2171702480873182,0.3892059041944141
C16,Indonesia,East Asia,Democracy,IndoPacific,1.04227153298863,265919045.86933818,0.103268247088719,34.792748175238536,0.9273758678749194,0.018813447306792887,0.01036781507014277,10.870219804544861,128.2917383228537,130.57855857555302,4.320639253051606,15.52122764167656,6.972688911666464,0.5559280049641435,0.3266192159065609,36.301234020482475,0.6404709431002402,0.5616169430337828,0.6215394306506007,78.0,14.0,46.0,48.0,62.0,38.0,3.0,4.0,1.0002013172828799,0.5,0.58,0.5027673506178166,0.5898887194170478,0.5009211165618559,0.3731438265287047
C17,Netherlands,Europe,Democracy,Western,0.9297335997968621,17843333.791238118,0.0173412913833571,0.0,0.6182505785832798,0.012542298204528594,0.00858567046409701,11.70742307248981,9.347513726280743,9.049106936363518,6.5409856657551835,10.848327204830415,4.707178581011677,0.570526402320273,0.2861409896634959,26.789257550754208,0.5133156045082996,0.17202543123808128,0.5979441308874004,38.0,80.0,14.0,53.0,67.0,68.0,8.5,8.5,1.00040542274743,0.5,0.64,0.2967958139619332,0.6511791390383492,0.4890669935463257,0.3475064972354517
C18,Saudi Arabia,Middle East,Autocracy,MENA,0.8865648,30213999.380185153,0.615985084477742,0.0,0.30912528929163985,0.006271149102264295,0.009214082237309863,8.595307909790403,11.596244803507876,11.704859303717248,5.230819504130055,13.040524735773719,5.722975418181622,0.5438805235455132,0.3332378901585135,46.87958589647331,0.5887103559423768,0.6071674125288438,0.5463501174930686,95.0,25.0,60.0,80.0,36.0,52.0,2.0,3.5,1.0006050904590218,0.5,1.3,0.873894635729088,0.7989027741501268,0.6540806909988632,0.8263221298082706
